pha,sex,year,asr_per_100k,disease,population
10229,females,2017,3953.89412261474,Respiratory disease,308.0
10277,females,2017,1569.21518403567,Respiratory disease,135.0
10012,females,2017,2356.69591911603,Respiratory disease,274.0
10095,females,2017,1842.97280711078,Respiratory disease,319.0
10094,females,2017,1951.57292499852,Respiratory disease,448.0
10200,females,2017,1703.06004760561,Respiratory disease,108.0
10216,females,2017,2246.06868798761,Respiratory disease,124.0
10079,females,2017,2208.58898566828,Respiratory disease,245.0
10234,females,2017,2846.97137998153,Respiratory disease,288.0
10192,females,2017,1490.70908135106,Respiratory disease,134.0
10235,females,2017,3303.39120516665,Respiratory disease,252.0
10013,females,2017,2137.19395732819,Respiratory disease,114.0
10009,females,2017,3060.08128635092,Respiratory disease,290.0
10008,females,2017,1667.81249673579,Respiratory disease,330.0
10115,females,2017,937.603899259283,Respiratory disease,60.0
10158,females,2017,2877.47219668527,Respiratory disease,87.0
10159,females,2017,1295.3519797758,Respiratory disease,104.0
10160,females,2017,2131.61516615011,Respiratory disease,258.0
20022,females,2017,1183.73142095239,Respiratory disease,92.0
20076,females,2017,1376.53290963371,Respiratory disease,357.0
20015,females,2017,1982.56036554947,Respiratory disease,161.0
20222,females,2017,2446.78269935405,Respiratory disease,257.0
20184,females,2017,2074.32291736167,Respiratory disease,230.0
20003,females,2017,1523.42288475803,Respiratory disease,267.0
20238,females,2017,1409.74900692714,Respiratory disease,174.0
20247,females,2017,1441.71228848401,Respiratory disease,137.0
20151,females,2017,966.65287553025,Respiratory disease,88.0
20152,females,2017,1826.98617059329,Respiratory disease,192.0
20153,females,2017,1254.21865988724,Respiratory disease,127.0
20250,females,2017,,Respiratory disease,
20251,females,2017,1676.13299769476,Respiratory disease,275.0
20142,females,2017,1882.07900456126,Respiratory disease,323.0
20020,females,2017,1509.96645966874,Respiratory disease,211.0
20005,females,2017,1666.10059663611,Respiratory disease,121.0
20026,females,2017,2066.67672381797,Respiratory disease,84.0
20137,females,2017,1648.54305183216,Respiratory disease,406.0
20192,females,2017,2408.13210526178,Respiratory disease,168.0
20160,females,2017,3352.4675299837,Respiratory disease,214.0
20189,females,2017,2228.51875258353,Respiratory disease,127.0
20239,females,2017,2053.24811486233,Respiratory disease,335.0
20185,females,2017,3171.42627699471,Respiratory disease,221.0
20186,females,2017,1645.93062003524,Respiratory disease,219.0
20187,females,2017,2344.19030151585,Respiratory disease,409.0
20027,females,2017,1107.85080120295,Respiratory disease,237.0
20208,females,2017,2160.12511911922,Respiratory disease,199.0
20100,females,2017,1617.28386903816,Respiratory disease,283.0
20094,females,2017,2299.21928797855,Respiratory disease,457.0
20114,females,2017,1502.26479475794,Respiratory disease,276.0
20039,females,2017,1714.07876952249,Respiratory disease,326.0
20231,females,2017,,Respiratory disease,
20209,females,2017,1949.67314482441,Respiratory disease,307.0
20227,females,2017,2997.91071155129,Respiratory disease,207.0
20228,females,2017,1618.15718322589,Respiratory disease,109.0
20195,females,2017,3827.05265568027,Respiratory disease,304.0
20197,females,2017,1780.23928966754,Respiratory disease,350.0
20206,females,2017,1636.34056614429,Respiratory disease,37.0
20201,females,2017,1804.66476759342,Respiratory disease,61.0
20201,females,2017,2359.69851252986,Respiratory disease,1248.0
20043,females,2017,1750.6340035311,Respiratory disease,494.0
20118,females,2017,597.735807783038,Respiratory disease,124.0
20119,females,2017,4187.13300133199,Respiratory disease,503.0
20035,females,2017,1687.94126490641,Respiratory disease,337.0
20036,females,2017,1636.96671179178,Respiratory disease,279.0
20156,females,2017,2276.09244359993,Respiratory disease,119.0
20232,females,2017,2071.75891116052,Respiratory disease,167.0
20040,females,2017,2286.53413074859,Respiratory disease,462.0
20087,females,2017,3639.99375294056,Respiratory disease,210.0
20000,females,2017,1619.67279243944,Respiratory disease,198.0
20001,females,2017,1824.6374796568,Respiratory disease,315.0
20032,females,2017,1216.10949170212,Respiratory disease,252.0
20259,females,2017,1791.30603296401,Respiratory disease,245.0
20054,females,2017,2280.61887968813,Respiratory disease,328.0
20068,females,2017,,Respiratory disease,
20069,females,2017,,Respiratory disease,
20115,females,2017,554.606510205167,Respiratory disease,47.0
20037,females,2017,1775.34815001814,Respiratory disease,240.0
20143,females,2017,,Respiratory disease,
20196,females,2017,2500.67476655404,Respiratory disease,167.0
20028,females,2017,1614.03606161357,Respiratory disease,361.0
20088,females,2017,2768.25325274225,Respiratory disease,203.0
20271,females,2017,,Respiratory disease,
20008,females,2017,1295.81288098622,Respiratory disease,108.0
20023,females,2017,1365.64656279022,Respiratory disease,143.0
20044,females,2017,1590.01559526204,Respiratory disease,209.0
20161,females,2017,2117.2915833031,Respiratory disease,232.0
20050,females,2017,1995.14045143568,Respiratory disease,138.0
20172,females,2017,2525.28624703598,Respiratory disease,460.0
20124,females,2017,1817.97437771038,Respiratory disease,460.0
20202,females,2017,1887.19829293114,Respiratory disease,216.0
20202,females,2017,1751.63112820917,Respiratory disease,469.0
20045,females,2017,2262.0071635554,Respiratory disease,370.0
20051,females,2017,1704.52879898485,Respiratory disease,206.0
20041,females,2017,1371.92928493628,Respiratory disease,116.0
20108,females,2017,1729.51300141699,Respiratory disease,393.0
20244,females,2017,2379.98871003046,Respiratory disease,132.0
20130,females,2017,1725.82458312245,Respiratory disease,206.0
20138,females,2017,1641.05169313268,Respiratory disease,154.0
20218,females,2017,1727.34990797799,Respiratory disease,147.0
20264,females,2017,1777.71600715016,Respiratory disease,248.0
20002,females,2017,1982.7374862823,Respiratory disease,274.0
20082,females,2017,1440.38588802867,Respiratory disease,88.0
20272,females,2017,2156.30173579255,Respiratory disease,165.0
20273,females,2017,1830.90543710279,Respiratory disease,151.0
20024,females,2017,1451.17455758702,Respiratory disease,124.0
20210,females,2017,3902.55623715286,Respiratory disease,539.0
20089,females,2017,2037.40610943388,Respiratory disease,574.0
20125,females,2017,2518.57260771472,Respiratory disease,201.0
20126,females,2017,2627.9485920828,Respiratory disease,417.0
20190,females,2017,2235.26349655791,Respiratory disease,103.0
20101,females,2017,2281.4795755769,Respiratory disease,406.0
20101,females,2017,2312.82158316734,Respiratory disease,1336.0
20102,females,2017,1328.67449725599,Respiratory disease,229.0
20102,females,2017,2147.39775677037,Respiratory disease,337.0
20131,females,2017,2834.56939852868,Respiratory disease,350.0
20132,females,2017,1724.91856179298,Respiratory disease,246.0
20191,females,2017,1986.40978325304,Respiratory disease,107.0
20144,females,2017,1493.17622101687,Respiratory disease,170.0
20145,females,2017,,Respiratory disease,
20133,females,2017,2277.18308643832,Respiratory disease,127.0
20009,females,2017,883.618887215428,Respiratory disease,108.0
20033,females,2017,1016.44584449644,Respiratory disease,188.0
